cambiar	O
alarma	O
de	O
7am	B-datetime
a	B-alarm/alarm_modifier
7pm	B-datetime
por	O
favor	O

borrar	O
alarmas	O
por	B-datetime
20	I-datetime
minutos	I-datetime

cancelar	O
todas	O
las	O
alarmas	O

encender	O
alarma	O
para	B-datetime
mañana	I-datetime
por	I-datetime
la	I-datetime
mañana	I-datetime

establecer	O
una	O
alarma	O
para	B-datetime
hoy	I-datetime
a	I-datetime
las	I-datetime
6	I-datetime
pm	I-datetime

¿	O
cuánto	O
tiempo	O
falta	O
para	O
mi	O
próxima	O
alarma	O
?	O

detener	O
la	O
alarma	O
por	B-datetime
el	I-datetime
resto	I-datetime
de	I-datetime
la	I-datetime
semana	I-datetime

establecer	O
alarma	O
para	B-datetime
mañana	I-datetime
a	I-datetime
las	I-datetime
4	I-datetime
:	I-datetime
30	I-datetime
am	I-datetime

posponer	O
todas	O
las	O
alarmas	O
por	B-datetime
12	I-datetime
horas	I-datetime
el	I-datetime
lunes	I-datetime
21	I-datetime

posponer	O
alarma	O
por	O
favor	O

mostrar	O
mis	O
alarmas	O
para	B-datetime
mañana	I-datetime

detener	O
la	O
alarma	O

establecer	O
una	O
alarma	O
para	B-datetime
mañana	I-datetime
a	I-datetime
las	I-datetime
5	I-datetime
am	I-datetime

configurar	O
alarma	O
para	O
que	O
suene	O
a	B-datetime
las	I-datetime
6	I-datetime
am	I-datetime

apagar	O
alarma	O
de	B-datetime
las	I-datetime
10	I-datetime
pm	I-datetime
de	I-datetime
esta	I-datetime
noche	I-datetime

¿	O
cuántas	O
alarmas	O
tengo	O
configuradas	O
?	O

establecer	O
alarma	O
por	B-datetime
2	I-datetime
horas	I-datetime

establecer	O
alarmas	O
20	B-datetime
minutos	I-datetime
antes	I-datetime
de	I-datetime
las	I-datetime
5	I-datetime

borrar	O
todas	O
mis	O
alarmas	O

pausar	O
mi	O
alarma	O
para	B-datetime
las	I-datetime
8	I-datetime
pm	I-datetime
esta	I-datetime
noche	I-datetime

establecer	O
mi	O
alarma	O
para	B-datetime
esta	I-datetime
tarde	I-datetime
a	I-datetime
las	I-datetime
3	I-datetime
pm	I-datetime

apagar	O
la	O
alarma	O

establecer	O
alarma	O
para	B-datetime
las	I-datetime
6	I-datetime
:	I-datetime
30	I-datetime
am	I-datetime

establecer	O
alarma	O
por	B-datetime
10	I-datetime
minutos	I-datetime

¿	O
cuántos	O
minutos	O
faltan	O
para	O
la	O
alarma	O
?	O

configurar	O
alarma	O
para	B-datetime
repetir	I-datetime
cada	I-datetime
hora	I-datetime

dame	O
una	O
alarma	O
en	B-datetime
15	I-datetime
minutos	I-datetime

establecer	O
alarma	O
para	B-datetime
las	I-datetime
5	I-datetime
pm	I-datetime
esta	I-datetime
noche	I-datetime

establecer	O
mi	O
alarma	O
para	B-datetime
las	I-datetime
6	I-datetime
:	I-datetime
30	I-datetime
am	I-datetime

crear	O
una	O
alarma	O

¿	O
qué	O
alarmas	O
están	O
programadas	O
para	B-datetime
mañana	I-datetime
?	O

puedes	O
configurar	O
la	O
alarma	O
para	B-datetime
las	I-datetime
8	I-datetime
:	I-datetime
30	I-datetime

cancelar	O
alarma	O
de	B-datetime
mañana	I-datetime

quiero	O
saber	O
qué	O
alarmas	O
tengo	O
programadas	O

¿	O
vas	O
a	O
programar	O
una	O
alarma	O
para	B-datetime
las	I-datetime
7	I-datetime
am	I-datetime
?	O

programar	O
una	O
alarma	O
cada	B-datetime
10	I-datetime
minutos	I-datetime
durante	I-datetime
2	I-datetime
horas	I-datetime

alarma	O
de	B-datetime
las	I-datetime
6	I-datetime
am	I-datetime

detener	O
mi	O
alarma	O

programar	O
la	O
alarma	O
a	B-datetime
las	I-datetime
6	I-datetime
:	I-datetime
55	I-datetime
am	I-datetime

borrar	O
alarma	O
de	B-datetime
las	I-datetime
4	I-datetime
:	I-datetime
00	I-datetime
am	I-datetime

programar	O
una	O
nueva	O
alarma	O
a	B-datetime
las	I-datetime
10	I-datetime
am	I-datetime
para	B-datetime
mañana	I-datetime
por	I-datetime
la	I-datetime
mañana	I-datetime

programar	O
alarma	O
diariamente	B-datetime
a	I-datetime
las	I-datetime
7	I-datetime
pm	I-datetime

borrar	O
alarma	O

posponer	O
todas	O
las	O
alarmas	O
por	B-datetime
7	I-datetime
minutos	I-datetime

programar	O
alarma	O
para	B-datetime
las	I-datetime
6	I-datetime
pm	I-datetime

cancelar	O
alarma	O

¿	O
cancelar	O
mi	O
alarma	O
para	B-datetime
el	I-datetime
lunes	I-datetime
por	I-datetime
la	I-datetime
mañana	I-datetime
?	O

cancelar	O
la	O
alarma	O
del	B-datetime
martes	I-datetime

programar	O
mi	O
alarma	O
para	B-datetime
el	I-datetime
martes	I-datetime
a	I-datetime
las	I-datetime
6	I-datetime
am	I-datetime

atrasar	O
mis	O
alarmas	O
una	B-datetime
hora	I-datetime

programar	O
una	O
alarma	O
por	B-datetime
35	I-datetime
minutos	I-datetime

cancelar	O
mis	O
alarmas	O

borrar	O
todas	O
las	O
alarmas	O

programar	O
alarma	O
cada	B-datetime
3	I-datetime
horas	I-datetime

programar	O
alarma	O
cada	B-datetime
hora	I-datetime
por	I-datetime
hoy	I-datetime

programar	O
mi	O
alarma	O
para	O
que	O
se	O
active	O
cada	B-datetime
dos	I-datetime
minutos	I-datetime

encender	O
mi	O
alarma	O

encender	O
todas	O
las	O
alarmas	O

programar	O
alarma	O
para	B-datetime
las	I-datetime
12	I-datetime
:	I-datetime
00	I-datetime
pm	I-datetime

borrar	O
todas	O
las	O
alarmas	O
del	B-datetime
lunes	I-datetime

programar	O
una	O
alarma	O
diaria	B-datetime
a	B-datetime
las	I-datetime
6	I-datetime
:	I-datetime
00	I-datetime
am	I-datetime

programar	O
una	O
alarma	O
para	B-datetime
las	I-datetime
7	I-datetime
am	I-datetime

posponer	O
alarma	O
por	B-datetime
10	I-datetime
minutos	I-datetime

detener	O
alarma	O

programar	O
alarma	O
para	B-datetime
mañana	I-datetime
a	I-datetime
las	I-datetime
4pm	I-datetime

programar	O
alarma	O
para	B-datetime
mañana	I-datetime
por	I-datetime
la	I-datetime
mañana	I-datetime

necesito	O
programar	O
una	O
alarma	O

borrar	O
alarma	O
de	B-datetime
las	I-datetime
7	I-datetime
am	I-datetime

programar	O
una	O
alarma	O
para	B-datetime
mañana	I-datetime
a	I-datetime
las	I-datetime
6	I-datetime
am	I-datetime

cancelar	O
alarmas	O

leer	O
todas	O
las	O
alarmas	O
que	O
tengo	O
programas	O
para	B-datetime
el	I-datetime
viernes	I-datetime

programar	O
una	O
alarma	O
por	B-datetime
20	I-datetime
minutos	I-datetime
para	O
mi	O
pizza	O

programar	O
una	O
alarma	O
para	B-datetime
mañana	I-datetime
a	I-datetime
las	I-datetime
5pm	I-datetime

crear	O
una	O
alarma	O
hoy	B-datetime
para	I-datetime
las	I-datetime
5	I-datetime
,	O
5	B-datetime
:	I-datetime
20	I-datetime
y	O
5	B-datetime
:	I-datetime
40	I-datetime

cancelar	O
mi	O
alarma	O
del	B-datetime
viernes	I-datetime

programar	O
alarma	O
a	B-datetime
las	I-datetime
8	I-datetime
:	I-datetime
30	I-datetime
am	I-datetime
para	O
guardar	O
los	O
platos	O

¿	O
cuántas	O
alarmas	O
tengo	O
programadas	O
para	B-datetime
esta	I-datetime
semana	I-datetime
?	O

programar	O
alarma	O
para	B-datetime
el	I-datetime
lunes	I-datetime
a	I-datetime
las	I-datetime
5	I-datetime
:	I-datetime
30	I-datetime
am	I-datetime

programar	O
una	O
alarma	O

borrar	O
las	O
alarmas	O
guardadas	O

pausar	O
alarma	O
actual	O

¿	O
cuál	O
es	O
el	O
tiempo	O
restante	O
para	O
mi	O
alarma	O
?	O

apagar	O
la	O
alarma	O

programar	O
tres	O
alarmas	O
entre	B-datetime
5	I-datetime
-	I-datetime
6	I-datetime
mañana	I-datetime

dame	O
una	O
alarma	O
en	B-datetime
15	I-datetime
minutos	I-datetime

me	O
gustaría	O
de	O
configurar	O
una	O
alarma	O
para	B-datetime
las	I-datetime
8	I-datetime
:	I-datetime
00	I-datetime
am	I-datetime

empezar	O
alarma	O
en	B-datetime
10	I-datetime
minutos	I-datetime

programar	O
alarma	O
para	B-datetime
mañana	I-datetime
a	I-datetime
las	I-datetime
4	I-datetime
am	I-datetime

posponer	O
alarma	O
actual	O
por	B-datetime
15	I-datetime
minutos	I-datetime

programar	O
alarma	O
para	B-datetime
mañana	I-datetime
a	I-datetime
las	I-datetime
3	I-datetime
am	I-datetime

borrar	O
mi	O
alarma	O
de	B-datetime
las	I-datetime
4	I-datetime
:	I-datetime
30	I-datetime
pm	I-datetime

a	O
qué	O
hora	O
está	O
programada	O
mi	O
alarma	O
de	B-datetime
mañana	I-datetime

muéstrame	O
todas	O
las	O
alarmas	O

¿	O
la	O
alarma	O
está	O
programada	O
?	O

programar	O
una	O
alarma	O
todos	B-datetime
los	I-datetime
domingos	I-datetime
a	I-datetime
las	I-datetime
7	I-datetime
pm	I-datetime

programar	O
una	O
alarma	O
para	B-datetime
las	I-datetime
3	I-datetime
pm	I-datetime

¿	O
cuántos	O
minutos	O
quedan	O
para	O
la	O
alarma	O
?	O

¿	O
tengo	O
una	O
alarma	O
programada	O
para	B-datetime
mañana	I-datetime
?	O

restaurar	O
alarma	O

programar	O
una	O
alarma	O
para	B-datetime
el	I-datetime
martes	I-datetime
a	I-datetime
las	I-datetime
12	I-datetime
pm	I-datetime
,	O
colocar	O
etiqueta	O
a	O
jill	O
para	O
el	O
almuerzo	O

apagar	O
alarma	O

crear	O
una	O
alarma	O
lunes	B-datetime
,	I-datetime
miércoles	I-datetime
y	I-datetime
viernes	I-datetime
a	I-datetime
las	I-datetime
3	I-datetime
:	I-datetime
30	I-datetime
pm	I-datetime

programar	O
una	O
alarma	O
para	B-datetime
mañana	I-datetime
a	I-datetime
las	I-datetime
8	I-datetime
am	I-datetime

programar	O
alarma	O
para	B-datetime
el	I-datetime
próximo	I-datetime
martes	I-datetime
a	I-datetime
las	I-datetime
9	I-datetime
am	I-datetime

programar	O
alarma	O
para	B-datetime
las	I-datetime
6	I-datetime
am	I-datetime

posponer	O
mi	O
alarma	O

¿	O
puedes	O
programarme	O
una	O
alarma	O
para	B-datetime
mañana	I-datetime
a	I-datetime
las	I-datetime
4	I-datetime
:	I-datetime
30	I-datetime
pm	I-datetime
?	O

programar	O
alarma	O
cada	B-datetime
minuto	I-datetime
por	I-datetime
10	I-datetime
minutos	I-datetime

¿	O
para	O
cuándo	O
están	O
programadas	O
mis	O
alarmas	O
?	O

programar	O
una	O
alarma	O
para	B-datetime
mañana	I-datetime
a	I-datetime
las	I-datetime
11	I-datetime
am	I-datetime

programar	O
alarma	O
cada	B-datetime
3	I-datetime
horas	I-datetime

me	O
gustaría	O
de	O
configurar	O
una	O
alarma	O
para	B-datetime
mañana	I-datetime

configurar	O
alarma	O
para	B-datetime
las	I-datetime
730pm	I-datetime
por	O
favor	O
.	O

programar	O
alarma	O
para	B-datetime
las	I-datetime
7	I-datetime
am	I-datetime

programar	O
una	O
alarma	O
cada	B-datetime
diez	I-datetime
minutos	I-datetime

cuáles	O
alarmas	O
tengo	O
configuradas	O

programar	O
alarma	O
para	B-datetime
las	I-datetime
2	I-datetime
:	I-datetime
30	I-datetime
pm	I-datetime

posponer	O
mi	O
alarma	O
por	B-datetime
la	I-datetime
mañana	I-datetime
por	I-datetime
30	I-datetime
minutos	I-datetime

programar	O
alarma	O
en	B-datetime
una	I-datetime
hora	I-datetime
desde	I-datetime
ahora	I-datetime

configurar	O
alarma	O
para	B-datetime
las	I-datetime
2pm	I-datetime
mañana	I-datetime
por	I-datetime
la	I-datetime
tarde	I-datetime
.	O

cancelar	O
alarma	O
2	O

desconectar	O
todas	O
mis	O
alarmas	O

cancelar	O
la	O
alarma	O

¿	O
cuántas	O
alarmas	O
tengo	O
ya	O
configuradas	O
?	O

cambiar	O
alarma	O
de	B-datetime
5	I-datetime
am	I-datetime
a	I-datetime
6	I-datetime
am	I-datetime

configurar	O
alarma	O
para	B-datetime
lunes	I-datetime
9	I-datetime
:	I-datetime
00	I-datetime
am	I-datetime

cancelar	O
todas	O
las	O
alarmas	O
por	O
favor	O

mostrar	O
todas	O
las	O
alarmas	O
para	B-datetime
mañana	I-datetime

apagar	O
mi	O
alarma	O
por	O
favor	O

cancelar	O
mi	O
alarma	O
de	B-datetime
las	I-datetime
5	I-datetime
am	I-datetime

podrías	O
desconectar	O
la	O
alarma	O
para	B-datetime
mañana	I-datetime

configurar	O
alarma	O
para	B-datetime
las	I-datetime
9	I-datetime
am	I-datetime

cancelar	O
la	O
última	O
alarma	O

cancelar	O
la	O
alarma	O
de	B-datetime
las	I-datetime
9	I-datetime
:	I-datetime
00	I-datetime
am	I-datetime

cuántas	O
alarmas	O
tengo	O
programadas	O

programar	O
alarma	O
para	O
mi	O
cumpleaños	O

borrar	O
todas	O
mis	O
alarmas	O

cancelar	O
todas	O
las	O
alarmas	O
que	O
tengo	O
programadas	O

configurar	O
alarma	O
para	B-datetime
las	I-datetime
4	I-datetime
:	I-datetime
30	I-datetime
pm	I-datetime
.	O

cancelar	O
mi	O
alarma	O
a	B-datetime
las	I-datetime
5	I-datetime
am	I-datetime

borrar	O
la	O
alarma	O
de	B-datetime
la	I-datetime
1	I-datetime
:	I-datetime
30pm	I-datetime
.	O

mostrar	O
todas	O
las	O
alarmas	O
.	O

detener	O
alarma	O

¿	O
cuánto	O
tiempo	O
queda	O
para	O
mi	O
